;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
;sum;min;max;mean;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean
DATA (YYYY-MM-DD);;;;;;;;;;;;;;;;;;;;;;;
2008-02-26;0.0;943.0;943.0;943.0;318.5;21.0;23.0;21.666666666666668;17.0;18.0;17.666666666666668;46.0;90.0;71.16666666666667;17.0;156.0;68.91666666666667;7.0;12.0;9.2;3.0;7.0;4.5
2008-02-27;0.0;;;;;19.0;27.0;22.0;16.0;17.0;16.75;53.0;84.0;71.79166666666667;46.0;84.0;55.541666666666664;8.0;10.0;8.75;5.0;5.0;5.0
2008-02-28;0.0;938.0;942.0;939.4;1528.0;25.0;25.0;25.0;16.0;17.0;16.333333333333332;52.0;80.0;69.29166666666667;33.0;58.0;44.833333333333336;11.0;11.0;11.0;4.0;5.0;4.5
2008-02-29;8.0;933.0;935.0;934.0;743.0;18.0;23.0;20.5;15.0;18.0;16.25;60.0;96.0;82.875;22.0;58.0;44.333333333333336;12.0;12.0;12.0;3.0;6.0;4.666666666666667
2008-03-01;0.0;931.0;933.0;932.2;434.6666666666667;21.0;21.0;21.0;17.0;17.0;17.0;70.0;96.0;86.20833333333333;28.0;339.0;145.25;2.0;8.0;5.0;1.0;4.0;2.0
2008-03-02;0.0;931.0;932.0;931.6666666666666;1207.8;18.0;18.0;18.0;17.0;19.0;18.0;71.0;96.0;90.83333333333333;3.0;357.0;180.79166666666666;5.0;13.0;9.0;2.0;3.0;2.5
2008-03-03;7.0;934.0;936.0;935.0;;;;;18.0;18.0;18.0;78.0;96.0;91.29166666666667;257.0;347.0;307.0833333333333;4.0;4.0;4.0;2.0;2.0;2.0
2008-03-04;0.0;938.0;938.0;938.0;81.0;18.0;19.0;18.5;17.0;17.0;17.0;65.0;96.0;86.58333333333333;280.0;359.0;308.6666666666667;6.0;8.0;7.0;2.0;3.0;2.6666666666666665
2008-03-05;1.0;938.0;940.0;939.3333333333334;1505.3333333333333;;;;18.0;18.0;18.0;54.0;98.0;82.5;244.0;323.0;288.0416666666667;6.0;6.0;6.0;1.0;2.0;1.5
2008-03-06;0.0;940.0;940.0;940.0;955.0;18.0;24.0;19.5;14.0;14.0;14.0;39.0;90.0;66.04166666666667;24.0;353.0;218.25;3.0;8.0;5.0;0.0;2.0;1.5
